holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
SATS,EchoStar Corp,549300EE20907QZ9GT38,EchoStar Corp,278768106,,SATS,113,NS,USD,12023.2,0.36,Long,EC,CORP,US,N,1,N,N,N
SCHW,Charles Schwab Corp/The,549300VSGCJ7E698NM85,Charles Schwab Corp/The,808513105,US8085131055,SCHW,401,NS,USD,36904.03,1.10,Long,EC,CORP,US,N,1,N,N,N
SMCI,Super Micro Computer Inc,54930022CZO1N2UGVW07,Super Micro Computer Inc,86800U302,US86800U3023,SMCI,327,NS,USD,11595.42,0.34,Long,EC,CORP,US,N,1,N,N,N
SPG,Simon Property Group Inc,529900GQL5X8H7AO3T64,Simon Property Group Inc,828806109,US8288061091,SPG,97,NS,USD,20813.29,0.62,Long,EC,CORP,US,N,1,N,N,N
STLD,Steel Dynamics Inc,549300HGGKEL4FYTTQ83,Steel Dynamics Inc,858119100,US8581191009,STLD,55,NS,USD,13803.9,0.41,Long,EC,CORP,US,N,1,N,N,N
STX,Seagate Technology Holdings PL,635400RUXIFEZSRU8X70,Seagate Technology Holdings PLC,N/A,IE00BKVD2N49,STX,10,NS,USD,10940.4,0.32,Long,EC,CORP,US,N,1,N,N,N
STZ,Constellation Brands Inc,5493005GKEG8QCVY7037,Constellation Brands Inc,21036P108,US21036P1084,STZ,69,NS,USD,9764.19,0.29,Long,EC,CORP,US,N,1,N,N,N
SYK,Stryker Corp,5493002F0SC4JTBU5137,Stryker Corp,863667101,US8636671013,SYK,92,NS,USD,28031.48,0.83,Long,EC,CORP,US,N,1,N,N,N
TDG,TransDigm Group Inc,N/A,TransDigm Group Inc,893641100,US8936411003,TDG,12,NS,USD,15550.8,0.46,Long,EC,CORP,US,N,1,N,N,N
TKO,TKO Group Holdings Inc,N/A,TKO Group Holdings Inc,87256C101,US87256C1018,TKO,69,NS,USD,13610.94,0.40,Long,EC,CORP,US,N,1,N,N,N
TPL,Texas Pacific Land Corp,254900EMA79D44WVLD22,Texas Pacific Land Corp,88262P102,US88262P1021,TPL,29,NS,USD,10472.19,0.31,Long,EC,CORP,US,N,1,N,N,N
TSLA,Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,US88160R1014,TSLA,460,NS,USD,186323,5.53,Long,EC,CORP,US,N,1,N,N,N
TXN,Texas Instruments Inc,WDJNR2L6D8RWOEB8T652,Texas Instruments Inc,882508104,US8825081040,TXN,36,NS,USD,11962.08,0.36,Long,EC,CORP,US,N,1,N,N,N
UBER,Uber Technologies Inc,549300B2FTG34FILDR98,Uber Technologies Inc,90353T100,US90353T1007,UBER,402,NS,USD,28714.86,0.85,Long,EC,CORP,US,N,1,N,N,N
VEEV,Veeva Systems Inc,549300YZEXPDB92M2F02,Veeva Systems Inc,922475108,US9224751084,VEEV,70,NS,USD,10721.2,0.32,Long,EC,CORP,US,N,1,N,N,N
VRT,Vertiv Holdings Co,549300KTTIRAOGXCRV69,Vertiv Holdings Co,92537N108,US92537N1081,VRT,30,NS,USD,10738.8,0.32,Long,EC,CORP,US,N,1,N,N,N
WDAY,Workday Inc,549300J0DYC0N31V7G13,Workday Inc,98138H101,US98138H1014,WDAY,109,NS,USD,12321.36,0.37,Long,EC,CORP,US,N,1,N,N,N
WRB,W R Berkley Corp,SQOAGCLKBDWNVYV1OV80,W R Berkley Corp,084423102,US0844231029,WRB,149,NS,USD,9914.46,0.29,Long,EC,CORP,US,N,1,N,N,N
XYZ,Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,188,NS,USD,13737.16,0.41,Long,EC,CORP,US,N,1,N,N,N
