check,fund,source_a,value_a,source_b,value_b,diff,flag
flow:mon2Sales,AVGC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,AVGC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,AVGC,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon3Redemption,AVGC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,BAY,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,BAY,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,BAY,AP_orders,1847615.00,TB@20260624,1722615.00,125000.00,REVIEW
flow:mon2Redemption,BAY,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,BAY,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Redemption,BAY,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,BESX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,BESX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,BESX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,BESX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,BESX,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon3Redemption,BESX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,BLCK,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,BLCK,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,BLCK,AP_orders,1389791.00,TB@20260624,1264791.00,125000.00,REVIEW
flow:mon2Redemption,BLCK,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,BLCK,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Redemption,BLCK,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,BREW,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon1Redemption,BREW,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,BREW,AP_orders,1530895.00,TB@20260624,1280895.00,250000.00,REVIEW
flow:mon2Redemption,BREW,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,BREW,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Redemption,BREW,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,BRZX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,BRZX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,BRZX,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,BRZX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,BRZX,AP_orders,581204.50,TB@20260624,331204.50,250000.00,REVIEW
flow:mon3Redemption,BRZX,AP_orders,229915.00,TB@20260624,0.00,229915.00,REVIEW
flow:mon1Sales,BZZ,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,BZZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,BZZ,AP_orders,3103078.50,TB@20260624,1513663.50,1589415.00,REVIEW
flow:mon2Redemption,BZZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,BZZ,AP_orders,1746666.00,TB@20260624,3211081.00,-1464415.00,REVIEW
flow:mon3Redemption,BZZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CAMC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CAMC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CAMC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,CAMC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CAMC,AP_orders,250000.00,TB@20260624,250000.00,0.00,
flow:mon3Redemption,CAMC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CARX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CARX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CARX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,CARX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CARX,AP_orders,250000.00,TB@20260624,250000.00,0.00,
flow:mon3Redemption,CARX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CBIL,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CBIL,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CBIL,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CBIL,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CBIL,AP_orders,17009188.00,TB@20260624,16759188.00,250000.00,
flow:mon3Redemption,CBIL,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CBOT,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,CBOT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CBOT,AP_orders,2529682.00,TB@20260624,2404682.00,125000.00,
flow:mon2Redemption,CBOT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CBOT,AP_orders,1370925.00,TB@20260624,1370925.00,0.00,
flow:mon3Redemption,CBOT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CCPX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CCPX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CCPX,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CCPX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CCPX,AP_orders,1502423.00,TB@20260624,1252423.00,250000.00,REVIEW
flow:mon3Redemption,CCPX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CGOV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CGOV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CGOV,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CGOV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CGOV,AP_orders,17512385.00,TB@20260624,17262385.00,250000.00,
flow:mon3Redemption,CGOV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CHYG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CHYG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CHYG,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CHYG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CHYG,AP_orders,5496632.00,TB@20260624,5246632.00,250000.00,
flow:mon3Redemption,CHYG,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,CIEI,AP_orders,0.00,TB@20260624,0.00,0.00,
